Series,Episode,IMDb Rating,Volatility,Average Points,Point Variance,Rank Spread,Lead Changes,Max Points,Min Points,Point Range,Comeback Index,Tension,Score Skewness,Winner Dominance,Lead Retention,Score StdDev,Winner Diversity,Winner Margin Slope
6,8,7.4,1.105263157894737,2.925925925925926,2.2167352537722906,1.2918999811649134,5,5.0,0.0,5.0,2.0,0.0,-1.164263643174722,1.5,3,1.4684399311374974,5,
6,9,7.8,0.92,2.5,2.45,1.5739014559291136,1,5.0,0.0,5.0,1.0,2.0,0.0,3.75,5,1.5200773042235667,4,0.4857142857142857
6,10,8.0,0.7,2.92,2.7935999999999996,1.4242166757343235,0,5.0,0.0,5.0,0.0,6.0,0.7935019592244956,9.25,5,1.3503882390542545,3,1.6
7,1,8.3,0.6,3.08,1.9136000000000004,1.567222270658586,3,5.0,1.0,4.0,1.0,1.0,0.19727941820314704,5.75,3,1.1692069938266252,3,0.7000000000000001
7,2,8.1,0.7916666666666666,3.21875,3.8583984375,1.5016388189797016,5,10.0,0.0,10.0,0.0,0.0,-0.700121710424527,3.0,2,1.789719029162009,4,
7,3,8.3,0.95,2.96,2.6784,1.3917241009465362,3,5.0,0.0,5.0,0.0,1.0,-0.9949095260359465,4.0,1,1.4543808235118076,5,0.1
7,4,8.5,0.5263157894736842,2.888888888888889,2.54320987654321,1.4345138369877333,3,5.0,0.0,5.0,3.0,0.0,-1.2864700617061369,1.75,1,1.440335586838669,3,
7,5,8.0,0.52,2.966666666666667,3.1655555555555557,1.644398965683779,1,5.0,0.0,5.0,0.0,5.0,-0.42587583827359604,9.0,5,1.533049580526321,2,0.7428571428571429
7,6,8.2,0.52,2.9,1.9566666666666666,1.559525226028568,1,5.0,0.0,5.0,2.0,1.0,0.27154541788364345,2.0,3,1.3697736302383778,4,-0.08571428571428572
7,7,8.4,0.64,2.7666666666666666,1.7788888888888892,1.6331078403317116,2,5.0,1.0,4.0,0.0,3.0,0.726589106594963,5.5,5,1.2340487662747264,4,0.8857142857142857
7,8,8.2,0.55,3.2,1.92,1.6155078824205684,2,5.0,1.0,4.0,-1.0,1.0,-0.8851929845765483,5.0,3,1.0756957956758832,4,-0.1
7,9,8.3,0.4,2.433333333333333,2.978888888888889,1.50018987757188,1,5.0,0.0,5.0,0.0,3.0,0.18424374151249817,8.0,5,1.5397996933006426,4,1.857142857142857
7,10,8.7,0.64,2.4,3.5066666666666664,1.3917288078463894,0,5.0,0.0,5.0,0.0,4.0,0.5936004596374715,5.75,6,1.8027916056430442,4,0.22857142857142856
9,1,7.8,0.65,2.84,2.9344000000000006,1.5856585152553784,3,5.0,0.0,5.0,0.0,1.0,0.15274429755954813,3.5,4,1.6527810395870095,4,0.5
9,2,8.2,0.6,3.08,2.9536000000000002,1.6279136509068302,1,5.0,0.0,5.0,1.0,1.0,-0.6049203448332652,4.5,3,1.5713023582609462,4,1.7000000000000002
9,3,7.8,0.68,3.066666666666667,1.8622222222222222,1.6098757923421048,3,5.0,1.0,4.0,1.0,3.0,0.5160349854227421,5.75,4,1.2674130738905227,5,1.0
9,4,8.1,1.15,2.92,1.7535999999999998,1.1399745047367589,3,5.0,1.0,4.0,0.0,2.0,-0.20814561571703522,4.25,4,1.1829043712647698,3,1.0
9,5,7.9,0.5,3.16,1.7344,1.5794882683794564,2,5.0,1.0,4.0,1.0,1.0,-0.20569227175572583,4.0,1,1.1821506426776147,3,2.1
9,6,7.7,0.55,2.88,3.0656,1.529066428763391,1,5.0,0.0,5.0,2.0,3.0,0.09889552007074308,5.75,4,1.6340827026915459,3,1.0
9,7,7.8,0.8,3.52,6.2496,1.54411540487225,3,13.0,0.0,13.0,-1.0,2.0,0.022840130773560334,8.0,3,1.865149805377103,4,2.4000000000000004
9,8,7.8,0.5,3.08,1.5136,1.4977453811367252,1,5.0,1.0,4.0,1.0,2.0,-0.2226770647558974,5.75,3,0.9611549085165214,4,2.0
9,9,8.0,0.95,3.36,2.2304000000000004,1.553802542635296,3,5.0,0.0,5.0,0.0,2.0,-0.5507812500000013,2.75,2,1.3986790883795002,4,0.7000000000000001
9,10,8.2,0.9090909090909091,1.962962962962963,4.035665294924554,1.1276751676926036,3,5.0,0.0,5.0,-1.0,,,,0,2.001831470077965,4,
8,1,7.7,0.2631578947368421,2.888888888888889,2.5432098765432096,1.440507880395022,3,5.0,0.0,5.0,1.0,0.0,-0.15274429755954683,5.5,5,1.420003073510944,3,
8,2,7.6,0.72,2.966666666666667,1.7655555555555555,1.4948927956271012,2,5.0,1.0,4.0,1.0,1.0,-0.5692290289523139,4.0,2,1.2049735696409498,3,0.9714285714285714
8,3,7.6,0.5,2.92,2.4736000000000002,1.568226081829414,1,5.0,0.0,5.0,0.0,2.0,-0.19727941820314712,5.5,5,1.385801636085135,4,1.2000000000000002
8,4,7.7,0.6086956521739131,2.357142857142857,3.8724489795918373,1.388370853674794,2,5.0,0.0,5.0,-2.0,,,,2,1.9587975076895503,5,
8,5,7.6,0.44,3.066666666666667,1.9288888888888889,1.5588439262677223,2,5.0,0.0,5.0,2.0,1.0,-0.726589106594963,3.25,1,1.3004283536295485,5,1.2
8,6,7.7,0.92,2.0,3.2666666666666666,1.5480833027220753,3,5.0,0.0,5.0,0.0,1.0,0.0,3.75,2,1.7650465155483275,5,1.657142857142857
